legacy_url,recommended_action,new_url_or_destination,notes
https://www.enlightenedpathhealing.com/healernextdoor,keep existing URL,/healernextdoor,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/staying-awake-when-ordinary-life-keeps-going,keep existing URL,/healernextdoor/staying-awake-when-ordinary-life-keeps-going,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/starting-the-year-gently-and-letting-that-be-enough,keep existing URL,/healernextdoor/starting-the-year-gently-and-letting-that-be-enough,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/guest-column-the-gemini-full-moon-a-chatty-kathy,keep existing URL,/healernextdoor/guest-column-the-gemini-full-moon-a-chatty-kathy,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/what-actually-stayed-with-me-this-month,keep existing URL,/healernextdoor/what-actually-stayed-with-me-this-month,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/when-spiritual-leaders-fall-what-do-you-follow,keep existing URL,/healernextdoor/when-spiritual-leaders-fall-what-do-you-follow,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/finding-your-people-why-community-is-part-of-healing,keep existing URL,/healernextdoor/finding-your-people-why-community-is-part-of-healing,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/guest-column-building-with-the-beaver-moon,keep existing URL,/healernextdoor/guest-column-building-with-the-beaver-moon,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/its-okay-to-cut-corners,keep existing URL,/healernextdoor/its-okay-to-cut-corners,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/when-the-relationship-shifts-and-you-dont,keep existing URL,/healernextdoor/when-the-relationship-shifts-and-you-dont,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/guest-column-supermoon-on-fire,keep existing URL,/healernextdoor/guest-column-supermoon-on-fire,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/manifestation-is-more-than-just-trusting-the-process,keep existing URL,/healernextdoor/manifestation-is-more-than-just-trusting-the-process,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/navigating-a-violent-world-as-a-spiritual-being,keep existing URL,/healernextdoor/navigating-a-violent-world-as-a-spiritual-being,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/not-woo-woo-you-can-still-benefit-from-an-akashic-records-reading,keep existing URL,/healernextdoor/not-woo-woo-you-can-still-benefit-from-an-akashic-records-reading,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/a-total-eclipse-of-the-moon-and-more,keep existing URL,/healernextdoor/a-total-eclipse-of-the-moon-and-more,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
https://www.enlightenedpathhealing.com/healernextdoor/september-as-a-spiritual-reset,keep existing URL,/healernextdoor/september-as-a-spiritual-reset,Preserve this path in the CMS blog collection; use 301 only if the post slug must change.
